# Capture histories exported from 'ms.ch' 
# Mon Apr 05 7:09:37 AM 2021 
# Session ID Occasion Detector Sex 
Ithala_2016 Leopard_African_Female_4_77 1 Ithala_2016_Station22 1
Ithala_2016 Leopard_African_Female_4_77 1 Ithala_2016_Station24 1
Ithala_2016 Leopard_African_Female_4_81 1 Ithala_2016_Station23 1
Ithala_2016 Leopard_African_Female_4_85 1 Ithala_2016_Station24 1
Ithala_2016 Leopard_African_Female_4_85 1 Ithala_2016_Station24 1
Ithala_2016 Leopard_African_Female_4_85 1 Ithala_2016_Station24 1
Ithala_2016 Leopard_African_Female_4_85 1 Ithala_2016_Station24 1
Ithala_2016 Leopard_African_Female_4_85 1 Ithala_2016_Station24 1
Ithala_2016 Leopard_African_Female_4_85 1 Ithala_2016_Station24 1
Ithala_2016 Leopard_African_Female_4_85 1 Ithala_2016_Station24 1
Ithala_2016 Leopard_African_Female_4_85 1 Ithala_2016_Station25 1
Ithala_2016 Leopard_African_Female_4_85 1 Ithala_2016_Station25 1
Ithala_2016 Leopard_African_Female_4_9 1 Ithala_2016_Station10 1
Ithala_2016 Leopard_African_Female_4_9 1 Ithala_2016_Station11 1
Ithala_2016 Leopard_African_Female_4_9 1 Ithala_2016_Station11 1
Ithala_2016 Leopard_African_Female_4_9 1 Ithala_2016_Station11 1
Ithala_2016 Leopard_African_Female_4_9 1 Ithala_2016_Station29 1
Ithala_2016 Leopard_African_Female_4_98 1 Ithala_2016_Station26 1
Ithala_2016 Leopard_African_Female_4_98 1 Ithala_2016_Station26 1
Ithala_2016 Leopard_African_Female_4_98 1 Ithala_2016_Station26 1
Ithala_2016 Leopard_African_Male_4_136 1 Ithala_2016_Station4 2
Ithala_2016 Leopard_African_Male_4_26 1 Ithala_2016_Station12 2
Ithala_2016 Leopard_African_Male_4_26 1 Ithala_2016_Station15 2
Ithala_2016 Leopard_African_Male_4_26 1 Ithala_2016_Station15 2
Ithala_2016 Leopard_African_Male_4_26 1 Ithala_2016_Station15 2
Ithala_2016 Leopard_African_Male_4_26 1 Ithala_2016_Station16 2
Ithala_2016 Leopard_African_Male_4_26 1 Ithala_2016_Station16 2
Ithala_2016 Leopard_African_Male_4_26 1 Ithala_2016_Station16 2
Ithala_2016 Leopard_African_Male_4_26 1 Ithala_2016_Station16 2
Ithala_2016 Leopard_African_Male_4_26 1 Ithala_2016_Station16 2
Ithala_2016 Leopard_African_Male_4_26 1 Ithala_2016_Station16 2
Ithala_2016 Leopard_African_Male_4_26 1 Ithala_2016_Station8 2
Ithala_2016 Leopard_African_Male_4_26 1 Ithala_2016_Station8 2
Ithala_2016 Leopard_African_Male_4_26 1 Ithala_2016_Station8 2
Ithala_2016 Leopard_African_Male_4_26 1 Ithala_2016_Station8 2
Ithala_2016 Leopard_African_Male_4_26 1 Ithala_2016_Station8 2
Ithala_2016 Leopard_African_Male_4_26 1 Ithala_2016_Station8 2
Ithala_2016 Leopard_African_Male_4_3 1 Ithala_2016_Station10 2
Ithala_2016 Leopard_African_Male_4_3 1 Ithala_2016_Station10 2
Ithala_2016 Leopard_African_Male_4_3 1 Ithala_2016_Station10 2
Ithala_2016 Leopard_African_Male_4_3 1 Ithala_2016_Station11 2
Ithala_2016 Leopard_African_Male_4_3 1 Ithala_2016_Station11 2
Ithala_2016 Leopard_African_Male_4_3 1 Ithala_2016_Station11 2
Ithala_2016 Leopard_African_Male_4_3 1 Ithala_2016_Station16 2
Ithala_2016 Leopard_African_Male_4_3 1 Ithala_2016_Station17 2
Ithala_2016 Leopard_African_Male_4_330 1 Ithala_2016_Station21 2
Ithala_2016 Leopard_African_Male_4_39 1 Ithala_2016_Station14 2
Ithala_2016 Leopard_African_Male_4_39 1 Ithala_2016_Station5 2
Ithala_2016 Leopard_African_Male_4_39 1 Ithala_2016_Station5 2
Ithala_2016 Leopard_African_Male_4_39 1 Ithala_2016_Station5 2
Ithala_2016 Leopard_African_Male_4_39 1 Ithala_2016_Station6 2
Ithala_2016 Leopard_African_Male_4_39 1 Ithala_2016_Station6 2
Ithala_2016 Leopard_African_Male_4_39 1 Ithala_2016_Station6 2
Ithala_2016 Leopard_African_Male_4_39 1 Ithala_2016_Station6 2
Ithala_2016 Leopard_African_Male_4_39 1 Ithala_2016_Station7 2
Ithala_2016 Leopard_African_Male_4_39 1 Ithala_2016_Station7 2
Ithala_2016 Leopard_African_Male_4_63 1 Ithala_2016_Station19 2
